method,c,run,seed,best_val_loss,best_val_acc,best_val_f1,best_val_auc
FGH,0.5,0,2024,0.6976054906845093,0.6,0.7499999999999999,0.6979166666666667
FGH,0.5,1,2025,0.6943770051002502,0.45,0.6206896551724138,0.5151515151515151
FGH,0.5,2,2026,0.6958402395248413,0.55,0.7096774193548387,0.40404040404040403
FGH,0.5,3,2027,0.6944717764854431,0.4,0.5714285714285715,0.45833333333333337
FGH,0.5,4,2028,0.6928045153617859,0.5,0.6666666666666666,0.51
FGH,1.0,0,2024,0.696923017501831,0.6,0.7499999999999999,0.6979166666666667
FGH,1.0,1,2025,0.6942687034606934,0.45,0.6206896551724138,0.5252525252525253
FGH,1.0,2,2026,0.695746123790741,0.55,0.7096774193548387,0.393939393939394
FGH,1.0,3,2027,0.6941611170768738,0.4,0.5714285714285715,0.4583333333333333
FGH,1.0,4,2028,0.6929165720939636,0.5,0.6666666666666666,0.49
FGH,2.0,0,2024,0.6764273047447205,0.6,0.7499999999999999,0.78125
FGH,2.0,1,2025,0.6947352290153503,0.45,0.6206896551724138,0.47474747474747475
FGH,2.0,2,2026,0.6956379413604736,0.55,0.7096774193548387,0.4343434343434343
FGH,2.0,3,2027,0.6938985586166382,0.4,0.5714285714285715,0.4791666666666667
FGH,2.0,4,2028,0.6931581497192383,0.5,0.6666666666666666,0.47000000000000003
FGH,3.5,0,2024,0.6795146465301514,0.6,0.7499999999999999,0.8020833333333333
FGH,3.5,1,2025,0.6949735879898071,0.45,0.6206896551724138,0.47474747474747475
FGH,3.5,2,2026,0.695630669593811,0.55,0.7096774193548387,0.4040404040404041
FGH,3.5,3,2027,0.6935804486274719,0.4,0.5714285714285715,0.47916666666666663
FGH,3.5,4,2028,0.6932144165039062,0.5,0.6666666666666666,0.47000000000000003
FGH,5.0,0,2024,0.6696164608001709,0.6,0.7499999999999999,0.7604166666666667
FGH,5.0,1,2025,0.6949347853660583,0.45,0.6206896551724138,0.4646464646464646
FGH,5.0,2,2026,0.695701539516449,0.55,0.7096774193548387,0.38383838383838387
FGH,5.0,3,2027,0.6933906674385071,0.4,0.5714285714285715,0.5104166666666667
FGH,5.0,4,2028,0.69320148229599,0.5,0.6666666666666666,0.49
